EventNumber, Distance, COUNTER, INTERPOLATED, F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4, GYROX, GYROY
0, 103058872.0, 22, 173, 1227.94871156, 1349.35896825, 591.02563332, 4738.20512925, 4051.15384574, 825.25640303, 8236.79488021, 5225.51282260, 1823.84614871, 1992.30768752, 6978.07692885, 6695.76923598, 7281.02564742, 5984.61538830, 107, 194
0, 103061464.0, 73, 34, 2622.43589397, 820.89742867, 6094.74359364, 6507.94872275, 5929.61538816, 763.20512084, 3352.82051095, 232.56409409, 8118.84616205, 1513.20512244, 239.48717101, 1304.23076298, 4076.28205094, 3933.97435828, 29, 255
0, 103064056.0, 86, 132, 6336.02564548, 8076.66667480, 5503.20513085, 6742.43590272, 433.58973553, 565.64101786, 8354.10257279, 49.48717060, 8318.97436759, 6523.58974839, 1794.74358454, 8169.35898263, 1226.15383976, 541.92306907, 192, 235
0, 103066648.0, 87, 238, 805.25640296, 2852.43589445, 5610.51282337, 4702.05128303, 189.48717087, 3672.94871670, 8142.56411084, 349.87178661, 6710.64103086, 917.05127497, 2612.82050935, 1064.61537788, 7060.89744188, 4488.58974408, 151, 206
0, 103071928.0, 0, 156, 1818.20512307, 6900.64103127, 7930.76923856, 3954.87179425, 1739.61537934, 5261.66666882, 4548.20512883, 4661.41025732, 7817.05128963, 3262.43589536, 955.25640331, 707.82050532, 1968.20512334, 7658.33334056, 137, 207
0, 103074616.0, 172, 57, 7192.30769857, 3563.58974213, 2518.20512453, 4328.97435912, 1879.35896936, 2954.35897165, 3172.94871566, 3950.64102502, 6228.84615802, 1574.61537892, 8207.94872636, 4745.89743694, 3354.10256223, 4341.15384637, 17, 247
0, 103077208.0, 236, 35, 4665.25641116, 5780.51282378, 3423.07692134, 4140.51282031, 719.74358224, 2338.58973956, 5250.89743799, 5786.79487506, 6132.82051679, 2210.89743159, 5377.30769467, 2812.82050977, 3687.17948600, 4307.43589758, 5, 8
0, 103080088.0, 29, 245, 1605.38460976, 493.84614593, 2237.05127782, 3534.35897283, 2933.33333056, 962.94871100, 7400.76923744, 756.79486443, 2321.66666257, 4866.53846286, 8059.87180294, 5050.64102731, 696.92306942, 3459.35897270, 76, 126
0, 103082680.0, 131, 13, 5798.33333660, 5216.79487381, 2860.25640734, 7943.58975145, 5102.82051463, 3754.87179383, 8065.12821319, 4687.05128296, 7351.92308353, 3122.82051046, 5845.64102905, 7409.87180155, 6159.35897839, 158.46152978, 190, 158
0, 103087768.0, 138, 79, 1822.56409743, 1477.94871212, 1509.99999424, 2918.46153562, 728.07691565, 2769.23076611, 4504.61538518, 6337.05128650, 5499.35897700, 3716.66666556, 7057.94872393, 727.69230026, 1830.51281537, 7121.41026246, 178, 19
0, 103090456.0, 255, 54, 7833.07693065, 4011.02564054, 5628.20513113, 2686.15384282, 1398.07691704, 4648.84615468, 2659.61538128, 258.07691460, 112.69229894, 5847.69231110, 1168.33332681, 5143.71795060, 3892.30769155, 4476.28205177, 46, 23
