Car EvNum,Ped EvNum,Car Distance,Brake Pedal,COUNTER,F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4
0,0,550507.1875,0.0,34,2209,16094,12575,10783,13728,8035,11295,33,9951,8478,14561,5407,7648,11101,
0,0,550523.1875,0.0,35,2274,1054,12959,11487,13920,8291,10911,33,6111,4766,11937,4383,6560,9885,
0,0,550523.1875,0.0,36,2337,15646,12319,11487,13920,8163,10975,33,7327,4958,11553,4767,7648,10013,
0,0,550539.1875,0.0,37,2402,670,12575,10847,13280,8099,10655,33,7775,5534,12513,4639,7456,10909,
0,0,550539.1875,0.0,38,2466,670,12767,11551,14112,8419,11231,33,7583,5918,13217,5151,8224,10973,
0,0,550555.1875,0.0,39,2529,16286,12319,11487,13920,7907,10911,33,8863,7262,13793,5535,7968,10653,
0,0,550555.1875,0.0,40,2594,1118,12767,11487,13536,7907,11103,33,6175,4574,11617,3999,6368,10077,
0,0,550571.1875,0.0,41,2657,15326,12191,11615,13920,8291,11487,33,8031,5470,12001,4767,7392,10653,
0,0,550571.1875,0.0,42,2722,478,12127,11167,13088,8227,10527,33,7903,6174,13025,5151,6880,10909,
0,0,550588.1875,0.0,43,2786,1054,12831,11423,13280,8291,11295,33,7263,6046,12897,4959,7008,10781,
0,0,550588.1875,0.0,44,2849,15966,12575,11359,13536,8163,11295,33,9695,7774,13793,5855,8288,11421,
0,0,550604.1875,0.0,45,2914,1566,12831,11423,13344,8291,10591,33,6303,4830,11681,4511,7072,10333,
0,0,550604.1875,0.0,46,2977,16222,12255,11487,13856,8227,11103,33,7327,5150,11809,4383,7072,10077,
0,0,550620.1875,0.0,47,3042,94,12383,11167,13600,7779,10591,33,8351,6302,13345,5023,7072,10781,
0,0,550620.1875,0.0,48,3106,1054,13279,11615,13792,8099,10719,33,6175,4958,12449,4575,6816,10141,
0,0,550636.1875,0.0,49,3169,15966,12575,11551,13600,8099,11103,33,8991,7134,13281,5279,7904,10653,
0,0,550636.1875,0.0,50,3234,1310,12831,11231,13280,8419,10911,33,7903,5918,12897,4447,7008,10909,
0,0,550652.1875,0.0,51,3297,16286,12703,11423,14176,8547,11359,33,7647,5726,12833,4383,6944,10461,
0,0,550652.1875,0.0,52,3361,16222,12255,11423,13664,7971,10911,33,7967,6494,12833,4831,7136,10269,
0,0,550668.1875,0.0,53,3426,670,12767,11487,13408,8291,11167,33,5983,4766,11425,4127,6688,9821,
0,0,550668.1875,0.0,54,3489,15390,12447,11103,13600,8355,11167,33,8287,6686,12769,5087,7904,10589,
0,0,550684.1875,0.0,55,3554,1182,12639,11295,13280,8291,10527,33,7071,6110,12769,4639,7584,10845,
0,0,550684.1875,0.0,56,3618,158,12575,11871,14240,8291,11039,33,7647,6046,12897,4575,7520,10461,
0,0,550700.1875,0.0,57,3681,15838,12447,11295,13792,7907,10527,33,9055,7134,13665,5663,7968,10717,
0,0,550700.1875,0.0,58,3746,1182,12959,11103,13408,8163,10783,33,5471,4510,11681,4575,7264,10461,
0,0,550717.1875,0.0,59,3809,15710,12063,11615,13984,8099,11231,33,7455,5790,12257,4703,7584,10461,
0,0,550717.1875,0.0,60,3874,734,12383,11551,13536,7907,10591,33,8095,6238,13281,4831,7200,10461,
0,0,550717.1875,0.0,61,3938,798,13087,11615,13792,8419,11359,33,7839,6302,13153,5151,7840,10781,
0,0,550733.1875,0.0,62,4002,94,12511,11295,13664,8163,11295,33,8607,7070,13217,5663,8096,11229,
0,0,550733.1875,0.0,63,4066,1310,12703,11231,13472,8291,11167,33,5727,4446,11617,4319,6880,10013,
0,0,550749.1875,0.0,64,4129,15262,12319,11295,13728,8611,11423,33,7967,5918,12193,4639,7264,9629,
0,0,550749.1875,0.0,65,4194,286,12767,11359,13344,8163,10527,33,7647,6110,12769,4959,7008,10141,
0,0,550765.1875,0.0,66,4258,862,13279,11935,13920,7907,11103,33,6879,5662,13025,5023,7776,10333,
0,0,550765.1875,0.0,67,4321,15966,12511,11487,13664,7971,11167,33,10143,7774,14369,5471,8160,10973,
0,0,550781.1875,0.0,68,4386,1630,12639,11295,13152,8547,10847,33,6815,5022,12001,3807,6304,10013,
0,0,550781.1875,0.0,69,4449,16350,12511,11423,13920,8291,11295,33,6751,5342,11553,4255,7008,9629,
0,0,550797.1875,0.0,70,4514,30,12575,10975,13408,7843,10719,33,8031,6494,12705,5087,7136,10333,
0,0,550797.1875,0.0,71,4578,670,12831,11423,13536,8419,10847,33,6815,5150,12065,4703,6880,10461,
0,0,550813.1875,0.0,72,4641,15902,12383,11487,13664,8291,10783,33,8863,7070,13345,5471,7712,10973,
0,0,550813.1875,0.0,73,4706,1182,13151,11487,13408,8099,10655,33,7327,5982,12833,4767,7072,10589,
0,0,550830.1875,0.0,74,4769,16158,13023,11551,13984,8355,11103,33,7967,5662,12513,4767,7584,10205,
0,0,550830.1875,0.0,75,4834,414,12575,11231,13280,7971,10463,33,8031,6110,12833,5087,7392,10333,
0,0,550846.1875,0.0,76,4898,1310,12959,11551,13472,7907,10847,33,6111,4830,11745,4383,6816,10141,
0,0,550846.1875,0.0,77,4961,15198,12191,11231,14048,7907,10975,33,9375,7198,12961,5279,7712,10781,
0,0,550862.1875,0.0,78,5026,1182,12447,11039,13408,8291,10399,33,7711,6366,12833,5023,7264,10717,
0,0,550862.1875,0.0,79,5090,606,12895,11743,13664,8739,11231,33,7391,5790,12705,5087,8032,10781,
0,0,550878.1875,0.0,80,5153,15838,12447,11615,13792,8291,10975,33,8863,6558,13217,5727,8224,11101,
0,0,550878.1875,0.0,81,5218,798,12575,11359,13856,7907,10847,33,6047,4510,11617,4383,6688,10077,
0,0,550894.1875,0.0,82,5281,15518,12127,11295,13856,7715,11103,33,7647,5726,12257,4319,7136,10077,
0,0,550894.1875,0.0,83,5346,670,12575,11231,13472,8099,10847,33,7391,5470,12769,4255,7328,10461,
0,0,550910.1875,0.0,84,5410,222,12703,11551,14112,8611,11487,33,7711,6302,13281,5151,7968,10781,
0,0,550910.1875,0.0,85,5473,16094,12255,11359,13728,8035,10847,33,9247,7646,13985,5663,7904,11165,
0,0,550926.1875,0.0,86,5538,1374,12959,11487,13344,8227,10655,33,5663,4318,11681,3615,6816,10077,
0,0,550926.1875,0.0,87,5601,15710,12319,11295,13792,8355,11423,33,7263,5662,11745,4511,7456,10141,
0,0,550942.1875,0.0,88,5666,734,12383,11167,13216,7971,10847,33,7839,6302,12449,5791,7200,10845,
0,0,550942.1875,0.0,89,5730,926,13023,11935,13536,8355,11167,33,7199,5470,12897,5407,7456,10653,
0,0,550959.1875,0.0,90,5793,15902,12383,11551,13536,8483,11359,33,9439,7518,14433,5087,7712,10909,
0,0,550959.1875,0.0,91,5858,1118,12447,11103,13472,8227,11359,33,6367,5214,12257,3743,6688,10269,
0,0,550959.1875,0.0,92,5921,15774,12255,11423,14112,8227,11359,33,6687,4958,11553,4447,7456,10141,
0,0,550975.1875,0.0,93,5986,94,12319,11359,13152,8355,10591,33,7775,5982,12833,5087,7200,10589,
0,0,550975.1875,0.0,94,6050,670,12511,11487,13344,8227,11359,33,7519,5854,12833,4831,7328,10461,
